,region,response,coverage,education,effective_to_date,month,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
8434,north west,no,basic,high school or below,1/30/11,jan,employed,f,suburban,single,personal auto,personal l2,offer1,web,luxury suv,large
8435,west region,no,extended,college,1/13/11,jan,employed,m,suburban,divorced,personal auto,personal l3,offer2,call center,suv,large
8436,central,no,extended,bachelor,2/24/11,feb,medical leave,f,rural,married,personal auto,personal l1,offer1,branch,suv,medsize
8437,central,no,premium,high school or below,2/28/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer3,branch,four-door car,medsize
8438,west region,yes,premium,high school or below,2/19/11,feb,employed,f,rural,married,corporate auto,corporate l1,offer2,web,four-door car,medsize
8439,west region,no,basic,high school or below,1/1/11,jan,employed,f,suburban,divorced,personal auto,personal l1,offer1,agent,four-door car,medsize
8440,central,no,basic,master,2/7/11,feb,employed,m,rural,single,corporate auto,corporate l1,offer1,call center,four-door car,medsize
8441,north west,no,basic,college,2/18/11,feb,employed,f,rural,married,personal auto,personal l2,offer4,call center,suv,medsize
8442,central,no,extended,bachelor,1/11/11,jan,unemployed,m,suburban,married,corporate auto,corporate l2,offer4,agent,two-door car,medsize
8443,central,no,extended,bachelor,1/8/11,jan,employed,f,rural,married,corporate auto,corporate l1,offer3,branch,suv,medsize
8444,north west,no,basic,bachelor,1/30/11,jan,unemployed,m,suburban,married,corporate auto,corporate l2,offer3,web,suv,medsize
8445,north west,no,premium,college,1/12/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,web,four-door car,small
8446,east,no,basic,college,1/26/11,jan,medical leave,m,suburban,married,personal auto,personal l3,offer1,web,suv,medsize
8447,north west,no,extended,high school or below,1/14/11,jan,unemployed,f,suburban,single,corporate auto,corporate l3,offer1,agent,two-door car,medsize
8448,north west,no,basic,high school or below,2/11/11,feb,unemployed,f,urban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
8449,west region,no,basic,bachelor,2/19/11,feb,retired,m,suburban,single,personal auto,personal l1,offer1,agent,suv,medsize
8450,west region,yes,basic,college,1/21/11,jan,employed,m,suburban,married,corporate auto,corporate l2,offer2,branch,suv,small
8451,central,no,basic,college,2/5/11,feb,employed,f,suburban,single,personal auto,personal l2,offer1,agent,luxury suv,small
8452,central,no,basic,bachelor,1/25/11,jan,employed,m,rural,married,corporate auto,corporate l3,offer2,web,four-door car,medsize
8453,north west,no,basic,bachelor,1/16/11,jan,employed,m,rural,married,personal auto,personal l3,offer4,web,two-door car,large
8454,central,no,basic,bachelor,1/11/11,jan,employed,f,urban,married,personal auto,personal l3,offer1,agent,two-door car,medsize
8455,west region,no,premium,bachelor,2/15/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer2,branch,four-door car,large
8456,north west,no,basic,doctor,1/11/11,jan,employed,f,urban,married,personal auto,personal l3,offer2,call center,suv,medsize
8457,north west,no,extended,bachelor,1/4/11,jan,employed,f,suburban,divorced,corporate auto,corporate l2,offer2,web,four-door car,medsize
8458,central,no,extended,bachelor,1/26/11,jan,employed,m,suburban,divorced,personal auto,personal l3,offer1,agent,two-door car,small
8459,east,yes,basic,bachelor,1/13/11,jan,employed,m,suburban,divorced,corporate auto,corporate l3,offer1,agent,four-door car,medsize
8460,central,no,extended,college,1/30/11,jan,employed,m,rural,married,corporate auto,corporate l2,offer1,call center,four-door car,medsize
8461,north west,no,basic,bachelor,2/22/11,feb,employed,m,rural,single,personal auto,personal l3,offer3,branch,suv,medsize
8462,north west,no,basic,bachelor,1/20/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,branch,four-door car,medsize
8463,west region,no,basic,college,1/1/11,jan,employed,f,suburban,married,personal auto,personal l3,offer2,branch,luxury car,large
8464,central,no,basic,high school or below,2/3/11,feb,employed,f,urban,divorced,corporate auto,corporate l2,offer2,agent,suv,small
8465,central,no,extended,college,2/4/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer2,web,two-door car,medsize
8466,east,no,basic,high school or below,2/22/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer2,agent,four-door car,medsize
8467,west region,no,premium,high school or below,2/25/11,feb,employed,f,urban,married,personal auto,personal l3,offer3,branch,two-door car,large
8468,north west,no,basic,college,2/8/11,feb,unemployed,m,suburban,married,corporate auto,corporate l3,offer2,branch,two-door car,medsize
8469,central,no,basic,bachelor,2/15/11,feb,employed,f,suburban,married,personal auto,personal l3,offer4,call center,suv,medsize
8470,central,yes,basic,high school or below,1/29/11,jan,retired,f,suburban,divorced,personal auto,personal l1,offer1,branch,four-door car,medsize
8471,west region,no,extended,bachelor,1/16/11,jan,employed,f,suburban,single,personal auto,personal l2,offer1,agent,suv,large
8472,west region,no,basic,bachelor,1/17/11,jan,employed,f,suburban,married,corporate auto,corporate l3,offer3,agent,four-door car,medsize
8473,west region,no,basic,bachelor,2/28/11,feb,employed,f,rural,married,personal auto,personal l3,offer2,branch,sports car,medsize
8474,east,no,extended,bachelor,2/28/11,feb,unemployed,m,suburban,divorced,special auto,special l2,offer2,web,four-door car,small
8475,west region,no,basic,doctor,2/14/11,feb,employed,m,urban,married,personal auto,personal l2,offer3,agent,four-door car,large
8476,north west,no,extended,bachelor,1/15/11,jan,employed,f,urban,married,personal auto,personal l2,offer2,web,luxury suv,medsize
8477,central,no,extended,bachelor,2/4/11,feb,employed,m,suburban,divorced,corporate auto,corporate l2,offer1,call center,four-door car,small
8478,north west,no,basic,high school or below,1/13/11,jan,employed,f,urban,divorced,special auto,special l1,offer4,web,four-door car,medsize
8479,east,yes,premium,bachelor,1/28/11,jan,employed,f,suburban,single,personal auto,personal l2,offer1,branch,two-door car,medsize
8480,west region,yes,basic,bachelor,1/17/11,jan,employed,m,suburban,divorced,special auto,special l3,offer2,call center,two-door car,small
8481,north west,no,basic,high school or below,1/17/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer1,agent,suv,medsize
8482,east,no,basic,high school or below,2/18/11,feb,employed,m,rural,married,personal auto,personal l3,offer1,branch,four-door car,medsize
8483,north west,no,basic,high school or below,2/28/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer4,branch,four-door car,medsize
8484,central,no,extended,bachelor,2/21/11,feb,employed,f,suburban,single,personal auto,personal l3,offer1,branch,suv,medsize
8485,north west,no,basic,bachelor,2/14/11,feb,employed,m,suburban,married,personal auto,personal l3,offer1,agent,two-door car,medsize
8486,west region,no,basic,master,1/20/11,jan,employed,m,suburban,married,personal auto,personal l3,offer2,branch,two-door car,small
8487,central,no,basic,college,2/3/11,feb,employed,f,rural,married,personal auto,personal l2,offer1,web,four-door car,medsize
8488,central,no,premium,bachelor,1/18/11,jan,employed,m,rural,single,corporate auto,corporate l3,offer1,agent,four-door car,medsize
8489,north west,no,basic,master,1/27/11,jan,unemployed,f,suburban,married,personal auto,personal l1,offer3,agent,four-door car,medsize
8490,north west,no,basic,college,1/18/11,jan,employed,m,rural,married,personal auto,personal l1,offer1,branch,suv,medsize
8491,west region,no,basic,bachelor,1/19/11,jan,disabled,f,suburban,married,personal auto,personal l2,offer4,branch,four-door car,small
8492,north west,no,basic,college,2/13/11,feb,employed,m,suburban,married,personal auto,personal l3,offer3,agent,four-door car,medsize
8493,west region,no,basic,bachelor,2/19/11,feb,employed,m,rural,married,corporate auto,corporate l3,offer1,agent,four-door car,medsize
8494,central,no,extended,bachelor,1/1/11,jan,employed,m,urban,married,personal auto,personal l3,offer1,call center,two-door car,medsize
8495,west region,no,basic,master,2/13/11,feb,employed,m,rural,single,personal auto,personal l3,offer1,call center,sports car,medsize
8496,west region,no,premium,college,1/23/11,jan,employed,f,suburban,married,personal auto,personal l3,offer1,web,four-door car,medsize
8497,west region,no,extended,bachelor,1/31/11,jan,medical leave,m,suburban,married,personal auto,personal l3,offer2,call center,two-door car,large
8498,north west,no,basic,college,1/28/11,jan,employed,f,suburban,married,personal auto,personal l2,offer4,web,two-door car,small
8499,north west,no,basic,college,2/25/11,feb,employed,m,rural,married,personal auto,personal l3,offer1,web,four-door car,large
8500,north west,no,basic,college,1/20/11,jan,employed,f,urban,divorced,personal auto,personal l2,offer2,agent,four-door car,medsize
8501,west region,no,extended,high school or below,1/27/11,jan,unemployed,f,suburban,single,corporate auto,corporate l3,offer2,branch,two-door car,medsize
8502,east,yes,premium,bachelor,1/24/11,jan,employed,f,suburban,single,personal auto,personal l3,offer2,agent,two-door car,small
8503,east,yes,basic,bachelor,2/17/11,feb,retired,m,suburban,divorced,personal auto,personal l3,offer2,web,four-door car,medsize
8504,north west,no,premium,master,1/11/11,jan,medical leave,f,suburban,single,personal auto,personal l3,offer1,agent,four-door car,small
8505,east,yes,extended,master,2/20/11,feb,employed,f,suburban,divorced,personal auto,personal l1,offer2,agent,luxury suv,medsize
8506,north west,no,premium,bachelor,2/1/11,feb,unemployed,f,suburban,married,personal auto,personal l3,offer1,web,two-door car,small
8507,central,no,basic,master,2/28/11,feb,employed,m,suburban,married,personal auto,personal l1,offer3,web,four-door car,medsize
8508,west region,no,basic,college,2/6/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer2,web,luxury car,medsize
8509,central,yes,basic,bachelor,2/8/11,feb,unemployed,f,suburban,married,personal auto,personal l2,offer1,call center,suv,medsize
8510,east,no,basic,master,1/29/11,jan,employed,f,rural,married,personal auto,personal l1,offer4,call center,four-door car,medsize
8511,west region,no,premium,high school or below,1/15/11,jan,unemployed,f,suburban,married,personal auto,personal l3,offer3,call center,suv,medsize
8512,west region,no,extended,bachelor,1/28/11,jan,unemployed,f,suburban,single,corporate auto,corporate l3,offer1,call center,four-door car,medsize
8513,east,yes,extended,college,2/1/11,feb,employed,f,rural,divorced,personal auto,personal l1,offer2,agent,four-door car,medsize
8514,west region,yes,basic,high school or below,2/18/11,feb,retired,m,suburban,divorced,personal auto,personal l3,offer1,branch,suv,medsize
8515,west region,no,basic,high school or below,2/27/11,feb,employed,m,rural,married,corporate auto,corporate l2,offer4,agent,four-door car,medsize
8516,west region,no,basic,high school or below,1/30/11,jan,employed,m,suburban,divorced,personal auto,personal l2,offer3,agent,four-door car,medsize
8517,north west,no,basic,master,1/10/11,jan,employed,m,rural,married,personal auto,personal l1,offer2,call center,suv,large
8518,west region,no,basic,bachelor,1/30/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,branch,four-door car,medsize
8519,west region,no,extended,high school or below,1/10/11,jan,employed,m,suburban,married,personal auto,personal l3,offer2,web,suv,medsize
8520,central,no,extended,high school or below,2/11/11,feb,employed,f,suburban,married,personal auto,personal l3,offer1,branch,four-door car,medsize
8521,west region,no,basic,bachelor,2/11/11,feb,unemployed,f,rural,married,personal auto,personal l2,offer3,branch,two-door car,large
8522,central,no,basic,college,1/3/11,jan,employed,m,suburban,married,personal auto,personal l1,offer3,call center,suv,large
8523,west region,no,extended,bachelor,1/23/11,jan,employed,m,suburban,married,personal auto,personal l1,offer2,call center,four-door car,medsize
8524,west region,no,basic,college,2/22/11,feb,employed,m,urban,divorced,personal auto,personal l3,offer2,web,four-door car,medsize
8525,central,no,basic,bachelor,1/5/11,jan,employed,f,suburban,married,personal auto,personal l3,offer1,branch,luxury car,medsize
8526,east,yes,basic,doctor,2/19/11,feb,employed,m,urban,single,personal auto,personal l3,offer4,branch,two-door car,medsize
8527,west region,no,basic,high school or below,2/14/11,feb,unemployed,m,suburban,single,corporate auto,corporate l3,offer1,agent,four-door car,medsize
8528,east,no,basic,high school or below,1/28/11,jan,employed,f,suburban,married,personal auto,personal l2,offer2,web,four-door car,medsize
8529,west region,no,extended,doctor,1/16/11,jan,employed,m,urban,single,personal auto,personal l3,offer2,web,suv,medsize
8530,north west,no,basic,master,2/21/11,feb,employed,f,suburban,single,personal auto,personal l2,offer2,agent,two-door car,small
8531,central,no,extended,high school or below,2/2/11,feb,employed,m,suburban,married,personal auto,personal l3,offer4,branch,four-door car,large
8532,east,yes,extended,college,1/8/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,suv,medsize
8533,central,no,basic,bachelor,2/20/11,feb,employed,f,rural,married,corporate auto,corporate l1,offer2,web,four-door car,medsize
8534,central,no,premium,high school or below,2/26/11,feb,medical leave,f,suburban,divorced,personal auto,personal l1,offer3,web,four-door car,medsize
8535,north west,yes,extended,master,2/23/11,feb,unemployed,f,suburban,single,corporate auto,corporate l3,offer1,branch,sports car,medsize
8536,north west,no,extended,high school or below,2/4/11,feb,employed,f,urban,married,personal auto,personal l2,offer4,agent,two-door car,medsize
8537,west region,no,basic,high school or below,1/27/11,jan,employed,f,urban,married,personal auto,personal l2,offer2,branch,two-door car,medsize
8538,north west,no,extended,high school or below,1/25/11,jan,employed,m,suburban,single,personal auto,personal l3,offer2,web,four-door car,medsize
8539,west region,no,premium,college,1/15/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer1,agent,luxury suv,small
8540,west region,no,premium,high school or below,2/10/11,feb,employed,m,rural,married,corporate auto,corporate l3,offer4,branch,suv,small
8541,north west,no,premium,bachelor,2/28/11,feb,employed,m,rural,divorced,personal auto,personal l3,offer1,web,four-door car,medsize
8542,west region,no,extended,master,2/23/11,feb,employed,m,urban,married,personal auto,personal l3,offer2,agent,suv,large
8543,east,no,basic,college,2/10/11,feb,employed,f,rural,married,personal auto,personal l3,offer3,agent,four-door car,medsize
8544,east,no,basic,bachelor,2/21/11,feb,employed,m,urban,married,personal auto,personal l1,offer4,agent,two-door car,medsize
8545,north west,no,basic,bachelor,1/4/11,jan,unemployed,f,suburban,single,corporate auto,corporate l2,offer1,agent,four-door car,medsize
8546,west region,no,extended,bachelor,1/10/11,jan,employed,m,rural,married,personal auto,personal l2,offer2,agent,four-door car,medsize
8547,west region,no,basic,high school or below,1/1/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer4,web,two-door car,small
8548,north west,no,extended,college,1/17/11,jan,unemployed,f,suburban,divorced,personal auto,personal l2,offer1,web,four-door car,small
8549,west region,no,basic,bachelor,2/16/11,feb,employed,m,urban,married,corporate auto,corporate l3,offer1,agent,four-door car,medsize
8550,north west,no,extended,bachelor,1/19/11,jan,employed,f,suburban,divorced,corporate auto,corporate l3,offer3,web,four-door car,medsize
8551,west region,no,premium,bachelor,2/10/11,feb,employed,m,urban,divorced,personal auto,personal l2,offer2,web,suv,medsize
8552,west region,no,premium,college,2/20/11,feb,disabled,m,suburban,divorced,corporate auto,corporate l3,offer1,call center,sports car,small
8553,central,no,extended,bachelor,1/15/11,jan,unemployed,m,suburban,single,corporate auto,corporate l2,offer1,branch,two-door car,medsize
8554,central,no,basic,bachelor,1/5/11,jan,employed,f,urban,married,personal auto,personal l1,offer2,web,two-door car,medsize
8555,central,no,basic,college,1/26/11,jan,employed,f,suburban,divorced,personal auto,personal l2,offer1,agent,suv,medsize
8556,west region,no,extended,doctor,2/1/11,feb,disabled,m,suburban,divorced,personal auto,personal l1,offer3,call center,four-door car,medsize
8557,west region,no,extended,bachelor,1/26/11,jan,employed,f,rural,married,special auto,special l2,offer3,branch,suv,medsize
8558,west region,no,extended,college,1/7/11,jan,employed,m,rural,single,personal auto,personal l2,offer4,branch,four-door car,medsize
8559,central,no,basic,bachelor,2/22/11,feb,unemployed,f,suburban,single,personal auto,personal l1,offer1,agent,four-door car,medsize
8560,north west,no,extended,college,2/12/11,feb,unemployed,f,suburban,married,corporate auto,corporate l2,offer1,agent,suv,small
8561,east,no,basic,bachelor,1/7/11,jan,employed,f,urban,married,personal auto,personal l2,offer4,branch,two-door car,medsize
8562,west region,yes,extended,bachelor,1/27/11,jan,unemployed,f,suburban,divorced,personal auto,personal l3,offer1,call center,two-door car,large
8563,west region,yes,basic,bachelor,1/17/11,jan,employed,m,suburban,divorced,corporate auto,corporate l2,offer2,call center,two-door car,small
8564,west region,no,extended,bachelor,2/2/11,feb,unemployed,f,suburban,single,personal auto,personal l1,offer1,call center,suv,medsize
8565,central,no,extended,college,1/2/11,jan,disabled,m,suburban,single,personal auto,personal l1,offer1,agent,four-door car,medsize
8566,west region,no,basic,bachelor,2/24/11,feb,employed,m,rural,married,personal auto,personal l2,offer3,agent,four-door car,medsize
8567,north west,no,basic,bachelor,2/26/11,feb,employed,f,suburban,married,corporate auto,corporate l3,offer1,call center,suv,medsize
8568,north west,no,basic,bachelor,1/29/11,jan,medical leave,m,suburban,married,personal auto,personal l3,offer4,agent,four-door car,large
8569,west region,no,extended,college,2/5/11,feb,employed,f,urban,married,corporate auto,corporate l2,offer2,call center,four-door car,medsize
8570,central,no,premium,doctor,1/11/11,jan,unemployed,f,rural,married,personal auto,personal l1,offer1,agent,four-door car,medsize
8571,west region,no,extended,high school or below,2/25/11,feb,unemployed,m,suburban,single,corporate auto,corporate l2,offer2,agent,four-door car,large
8572,west region,no,basic,high school or below,2/2/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,call center,suv,medsize
8573,west region,yes,extended,doctor,1/8/11,jan,employed,f,suburban,married,personal auto,personal l1,offer2,agent,four-door car,medsize
8574,north west,yes,basic,college,1/30/11,jan,unemployed,m,suburban,married,personal auto,personal l3,offer1,branch,suv,medsize
8575,central,no,premium,college,2/12/11,feb,employed,m,rural,married,personal auto,personal l2,offer2,agent,four-door car,medsize
8576,north west,no,basic,bachelor,2/7/11,feb,unemployed,m,suburban,married,personal auto,personal l3,offer1,branch,two-door car,medsize
8577,central,no,extended,college,1/4/11,jan,employed,f,urban,single,personal auto,personal l3,offer3,call center,suv,medsize
8578,east,no,basic,bachelor,1/24/11,jan,employed,f,suburban,divorced,corporate auto,corporate l2,offer1,branch,four-door car,medsize
8579,north west,no,extended,college,1/16/11,jan,unemployed,m,suburban,married,corporate auto,corporate l3,offer1,agent,suv,small
8580,north west,no,basic,college,1/28/11,jan,employed,f,rural,married,personal auto,personal l3,offer2,branch,four-door car,medsize
8581,north west,yes,basic,bachelor,1/17/11,jan,employed,m,suburban,divorced,personal auto,personal l3,offer2,call center,suv,medsize
8582,west region,no,basic,college,2/4/11,feb,employed,f,rural,single,personal auto,personal l2,offer4,branch,four-door car,medsize
8583,central,no,basic,college,1/11/11,jan,unemployed,m,suburban,single,corporate auto,corporate l2,offer3,agent,two-door car,medsize
8584,west region,no,extended,doctor,1/21/11,jan,employed,f,rural,married,corporate auto,corporate l3,offer3,agent,four-door car,medsize
8585,east,no,basic,college,2/2/11,feb,employed,m,suburban,married,personal auto,personal l3,offer4,agent,two-door car,medsize
8586,east,no,basic,college,1/25/11,jan,unemployed,f,suburban,single,personal auto,personal l2,offer1,agent,four-door car,medsize
8587,west region,no,basic,bachelor,1/20/11,jan,employed,f,urban,single,corporate auto,corporate l3,offer1,branch,four-door car,medsize
8588,north west,no,basic,college,2/8/11,feb,unemployed,f,suburban,single,personal auto,personal l2,offer1,branch,four-door car,large
8589,west region,no,basic,high school or below,2/25/11,feb,employed,m,suburban,single,personal auto,personal l3,offer4,agent,four-door car,small
8590,north west,no,basic,doctor,2/13/11,feb,employed,m,suburban,single,personal auto,personal l2,offer2,branch,two-door car,medsize
8591,west region,no,basic,master,1/4/11,jan,medical leave,m,suburban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
8592,west region,yes,basic,master,1/31/11,jan,disabled,m,suburban,divorced,personal auto,personal l1,offer1,call center,four-door car,small
8593,north west,no,basic,high school or below,1/27/11,jan,employed,f,rural,married,personal auto,personal l3,offer1,web,two-door car,medsize
8594,north west,no,premium,bachelor,1/20/11,jan,employed,m,urban,married,personal auto,personal l3,offer1,branch,suv,medsize
8595,west region,no,basic,college,2/27/11,feb,employed,m,suburban,divorced,personal auto,personal l3,offer2,agent,four-door car,large
8596,north west,no,extended,bachelor,2/22/11,feb,employed,m,rural,single,personal auto,personal l3,offer2,branch,four-door car,large
8597,west region,no,basic,college,2/11/11,feb,employed,f,suburban,married,personal auto,personal l2,offer3,agent,four-door car,small
8598,west region,no,basic,college,2/5/11,feb,disabled,m,suburban,married,personal auto,personal l2,offer1,agent,suv,small
8599,east,no,basic,college,1/8/11,jan,employed,m,urban,married,personal auto,personal l3,offer2,branch,four-door car,medsize
8600,central,no,basic,high school or below,2/17/11,feb,employed,m,suburban,married,personal auto,personal l2,offer3,call center,four-door car,small
8601,west region,no,basic,college,1/3/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer4,branch,suv,small
8602,central,no,extended,bachelor,2/19/11,feb,employed,m,rural,single,personal auto,personal l3,offer3,agent,four-door car,medsize
8603,west region,no,extended,college,2/10/11,feb,employed,m,suburban,married,personal auto,personal l3,offer3,call center,suv,medsize
8604,north west,no,basic,bachelor,2/1/11,feb,unemployed,f,urban,married,personal auto,personal l3,offer1,branch,four-door car,medsize
8605,west region,no,premium,high school or below,2/25/11,feb,employed,f,urban,married,corporate auto,corporate l2,offer1,agent,four-door car,medsize
8606,central,no,basic,high school or below,1/22/11,jan,employed,f,rural,single,personal auto,personal l3,offer4,call center,two-door car,medsize
8607,west region,no,extended,bachelor,2/6/11,feb,unemployed,f,suburban,married,personal auto,personal l2,offer1,branch,sports car,large
8608,central,no,basic,high school or below,2/23/11,feb,retired,f,suburban,single,personal auto,personal l3,offer2,agent,two-door car,medsize
8609,north west,no,basic,college,1/11/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,two-door car,medsize
8610,north west,no,basic,high school or below,1/2/11,jan,employed,m,urban,married,special auto,special l2,offer2,web,four-door car,medsize
8611,west region,no,extended,bachelor,2/10/11,feb,employed,m,urban,divorced,personal auto,personal l2,offer1,web,four-door car,medsize
8612,north west,no,extended,bachelor,1/19/11,jan,unemployed,f,suburban,single,corporate auto,corporate l1,offer4,web,four-door car,medsize
8613,west region,no,extended,high school or below,1/23/11,jan,unemployed,f,suburban,single,corporate auto,corporate l3,offer1,agent,four-door car,medsize
8614,central,no,premium,high school or below,1/20/11,jan,employed,f,suburban,married,personal auto,personal l3,offer1,web,four-door car,medsize
8615,west region,no,basic,high school or below,1/2/11,jan,employed,m,suburban,married,special auto,special l1,offer2,branch,suv,medsize
8616,north west,no,basic,high school or below,1/19/11,jan,employed,m,suburban,married,personal auto,personal l2,offer2,agent,four-door car,small
8617,east,no,basic,high school or below,1/7/11,jan,employed,f,suburban,married,personal auto,personal l3,offer2,call center,luxury car,large
8618,central,no,basic,bachelor,1/29/11,jan,medical leave,m,rural,married,personal auto,personal l3,offer1,agent,two-door car,medsize
8619,east,no,premium,bachelor,2/7/11,feb,employed,f,suburban,single,personal auto,personal l3,offer1,branch,four-door car,small
8620,central,no,basic,college,1/19/11,jan,employed,f,urban,married,personal auto,personal l3,offer1,agent,suv,small
8621,north west,yes,basic,high school or below,2/25/11,feb,retired,f,suburban,single,personal auto,personal l3,offer1,agent,suv,medsize
8622,central,no,basic,college,2/5/11,feb,employed,m,urban,married,corporate auto,corporate l3,offer3,branch,two-door car,medsize
8623,west region,no,extended,doctor,2/11/11,feb,employed,m,rural,divorced,personal auto,personal l3,offer2,agent,four-door car,medsize
8624,north west,no,basic,bachelor,2/22/11,feb,employed,f,urban,married,personal auto,personal l3,offer4,branch,four-door car,medsize
8625,east,no,basic,college,2/20/11,feb,employed,f,rural,divorced,personal auto,personal l3,offer3,branch,four-door car,medsize
8626,central,no,basic,college,1/23/11,jan,employed,m,rural,married,personal auto,personal l3,offer1,branch,four-door car,medsize
8627,central,no,basic,bachelor,1/10/11,jan,employed,m,urban,married,personal auto,personal l3,offer1,agent,two-door car,medsize
8628,central,no,basic,bachelor,2/13/11,feb,employed,f,suburban,single,special auto,special l3,offer1,agent,four-door car,small
8629,north west,no,basic,college,2/4/11,feb,employed,f,rural,married,personal auto,personal l3,offer3,agent,four-door car,large
8630,west region,no,basic,college,1/8/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer2,agent,four-door car,medsize
8631,west region,no,basic,bachelor,1/12/11,jan,employed,f,rural,married,corporate auto,corporate l2,offer1,branch,four-door car,medsize
8632,north west,no,premium,college,1/17/11,jan,unemployed,m,suburban,single,special auto,special l2,offer3,call center,four-door car,medsize
8633,west region,no,basic,master,2/8/11,feb,employed,m,suburban,divorced,personal auto,personal l3,offer4,branch,four-door car,small
8634,north west,no,basic,bachelor,2/11/11,feb,employed,f,rural,single,personal auto,personal l3,offer2,branch,four-door car,medsize
8635,central,no,basic,college,2/16/11,feb,employed,f,suburban,married,corporate auto,corporate l3,offer2,web,four-door car,small
8636,central,no,basic,high school or below,1/26/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,four-door car,medsize
8637,north west,no,basic,college,1/22/11,jan,employed,m,urban,married,personal auto,personal l1,offer3,call center,two-door car,medsize
8638,west region,no,basic,college,2/2/11,feb,unemployed,f,suburban,single,corporate auto,corporate l3,offer1,agent,four-door car,small
8639,west region,no,basic,high school or below,1/10/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer1,web,two-door car,small
8640,north west,no,basic,bachelor,1/22/11,jan,employed,f,suburban,married,personal auto,personal l1,offer2,agent,four-door car,medsize
8641,north west,yes,premium,master,2/13/11,feb,disabled,f,suburban,divorced,personal auto,personal l2,offer1,web,suv,medsize
8642,north west,no,basic,college,1/3/11,jan,employed,m,rural,single,corporate auto,corporate l2,offer2,branch,four-door car,medsize
8643,west region,yes,extended,doctor,1/8/11,jan,employed,f,suburban,married,personal auto,personal l3,offer2,agent,four-door car,medsize
8644,central,no,extended,high school or below,1/6/11,jan,employed,m,suburban,single,personal auto,personal l1,offer4,call center,four-door car,medsize
8645,central,no,basic,high school or below,1/10/11,jan,employed,m,suburban,married,corporate auto,corporate l1,offer3,branch,two-door car,small
8646,west region,no,premium,high school or below,2/14/11,feb,medical leave,m,suburban,married,personal auto,personal l2,offer1,web,four-door car,medsize
8647,north west,no,extended,college,2/17/11,feb,employed,f,urban,married,special auto,special l2,offer2,branch,four-door car,medsize
8648,central,no,basic,high school or below,1/11/11,jan,unemployed,f,suburban,single,personal auto,personal l1,offer2,branch,sports car,medsize
8649,west region,no,extended,bachelor,2/3/11,feb,employed,m,rural,married,corporate auto,corporate l3,offer2,branch,four-door car,small
8650,central,no,extended,bachelor,1/27/11,jan,employed,m,urban,married,corporate auto,corporate l2,offer2,branch,four-door car,medsize
8651,west region,no,basic,college,2/7/11,feb,employed,m,urban,single,personal auto,personal l2,offer4,branch,four-door car,medsize
8652,central,no,basic,college,2/9/11,feb,employed,f,rural,single,corporate auto,corporate l3,offer1,branch,two-door car,large
8653,west region,yes,extended,high school or below,1/20/11,jan,retired,f,suburban,married,corporate auto,corporate l2,offer2,agent,four-door car,large
8654,central,no,basic,high school or below,1/6/11,jan,employed,m,urban,married,personal auto,personal l2,offer1,agent,suv,medsize
8655,north west,no,extended,college,1/19/11,jan,employed,f,rural,married,personal auto,personal l3,offer2,web,four-door car,small
8656,east,no,basic,bachelor,2/24/11,feb,employed,f,suburban,married,corporate auto,corporate l3,offer1,agent,two-door car,medsize
8657,central,no,basic,bachelor,1/17/11,jan,employed,m,urban,married,personal auto,personal l3,offer2,branch,two-door car,large
8658,west region,no,premium,doctor,1/19/11,jan,employed,m,suburban,married,personal auto,personal l2,offer4,call center,two-door car,small
8659,west region,no,basic,high school or below,1/11/11,jan,unemployed,f,suburban,single,special auto,special l2,offer1,agent,sports car,medsize
8660,central,no,basic,bachelor,1/5/11,jan,employed,m,suburban,married,personal auto,personal l3,offer3,agent,suv,medsize
8661,north west,no,basic,master,1/10/11,jan,employed,f,rural,divorced,personal auto,personal l3,offer2,branch,two-door car,small
8662,west region,yes,extended,high school or below,2/13/11,feb,employed,m,suburban,married,personal auto,personal l1,offer2,agent,two-door car,medsize
8663,north west,no,extended,college,1/16/11,jan,employed,f,urban,married,personal auto,personal l1,offer2,branch,four-door car,medsize
